BEIJING,北京
SHANGHAI,上海
TIANJIN,天津
CHONGQING,重庆
AKESU,阿克苏
ANNING,安宁
ANQING,安庆
ANSHAN,鞍山
ANSHUN,安顺
ANYANG,安阳
BAICHENG,白城
BAISHAN,白山
BAIYIN,白银
BENGBU,蚌埠
BAODING,保定
BAOJI,宝鸡
BAOSHAN,保山
BAZHONG,巴中
BEIHAI,北海
BENXI,本溪
BIJIE,毕节
BINZHOU,滨州
BOLE,博乐
BOZHOU,亳州
CANGZHOU,沧州
CHANGDE,常德
CHANGJI,昌吉
CHANGSHU,常熟
CHANGZHOU,常州
CHAOHU,巢湖
CHAOYANG,朝阳
CHAOZHOU,潮州
CHENGDE,承德
CHENGDU,成都
CHENGGU,城固
CHENZHOU,郴州
CHIBI,赤壁
CHIFENG,赤峰
CHISHUI,赤水
CHIZHOU,池州
CHONGZUO,崇左
CHUXIONG,楚雄
CHUZHOU,滁州
CIXI,慈溪
CONGHUA,从化
DALI,大理
DALIAN,大连
DANDONG,丹东
DANYANG,丹阳
DAQING,大庆
DATONG,大同
DAZHOU,达州
DEYANG,德阳
DEZHOU,德州
DONGGUAN,东莞
DONGYANG,东阳
DONGYING,东营
DOUYUN,都匀
DUNHUA,敦化
EERDUOSI,鄂尔多斯
ENSHI,恩施
FANGCHENGGANG,防城港
FEICHENG,肥城
FENGHUA,奉化
FUSHUN,抚顺
FUXIN,阜新
FUYANG,阜阳
FUYANG1,富阳
FUZHOU,福州
FUZHOU1,抚州
GANYU,赣榆
GANZHOU,赣州
GAOMING,高明
GAOYOU,高邮
GEERMU,格尔木
GEJIU,个旧
GONGYI,巩义
GUANGAN,广安
guang'an,广安
GUANGYUAN,广元
GUANGZHOU,广州
GUBAOTOU,古包头
GUIGANG,贵港
GUILIN,桂林
GUIYANG,贵阳
GUYUAN,固原
harbin,哈尔滨
HAICHENG,海城
HAIKOU,海口
HAIMEN,海门
HAINING,海宁
HAMI,哈密
HANDAN,邯郸
HANGZHOU,杭州
HANZHONG,汉中
HEBI,鹤壁
hechi,河池
heihe,黑河
HEFEI,合肥
HENGSHUI,衡水
HENGYANG,衡阳
